review,rating
"Great Stay! Since the moment we arrived, for the first time in marroco, the bellboy was very helpful, the front desk as easy and welcoming. Restaurant is good with traditional food (AMAZING Tajine!!) and more international one like salads, tapas. The Breakfast buffet, it was fantastic! for 90MAD you have very good pastry, natural juices, and you can even ask for an omelette made at the moment in show cooking. The waiters are kind, and they always try to help you. The apartment were also very well-equipped and very clean. There is a washing machine and you cal also ask for an iron and board, and also a clothesline to dry your clothes. Great if you've been travelling for a few weeks! The location is very good, near the marina and a good walk until the medina. Also, a supermarket is within 5 minutes distance. Thank you Pestana Tanger team to make my stay a memorable one.…",5
"Top costumer service. Very professional Team. New and large apartaments. Spacious and clean. Confy Bed Good location, nexr to TGV Station and Beach. Dont forget to visit old medina , enjoyable walk from the hotel",5
"A wonderful hotel , 2 min walk from the train station.  The hotel room was amazing !!! Check-in and check-out was so easy , thanks to Adel in the lobby during check-out  Will definitely stay there again if I am back to Tangier ",5
"Superb place. I went for 3 nights and stayed 8. The location was convenient for access to the beach and station and just a long walk to the medina. The apartment was extremely comfortable with good WiFi, a fridge/freezer, microwave, cooking facilities, washing machine, and TV with some English channels. The staff were all friendly and helpful.",5
New hotel clean and comfortable. Helpful team and very good location. The suite is just like the pictures clean and big.  We enjoyed our stay and will definitely come back again and again.  We recommend it !,5
"good location, rooms are very comfortable!  They are new and spacious, equipped with a washing machine: good breakfast, with Moroccan variety. we were very happy, the whole family liked it  we will come back and we recommend it to families",5
"The hotel is situated very close to the Gare Central, the beach and a commercial centre. The rooms are modern, spacious and well equipped. The staff are helpful and well trained. The food service offered is of good quality, including that provided in the apartments. The only negative aspect of the hotel is that the showers are too small.",5
"New modern hotel. Clean apartments, spacious and comfortable. The staff was exceptional from the moment we arrived, to the breakfast to check out they were always friendly, helpful and doing their best to please you. Could not think of a better place to stay in Tanger, with also a great location (5 minuts walking from the Corniche, near the Medina by taxi and just next to the TGV station. It was great!",5
"This Hotel is the best. New and nice rooms, well equiped (Kirchen, microwave, Washing machine, Drying rack (but on Request)   Good Location near Marina & Malabata .  Great Breakfast and very friendly staff. I will come back for sure.",5
"Great stay. Well-equipped aprtments. Great staff and very good breakfast!  The best part was when we went for lunch, the Tajine de Boeuf is the best in Tanger!!! you should try it! The location was also very convenient near the marina and a lot of cool places to explore",5
"Great Stay! Since the moment we arrived, for the first time in marroco, the bellboy was very helpful, the front desk as easy and welcoming. Restaurant is good with traditional food (AMAZING Tajine!!) and more international one like salads, tapas. The Breakfast buffet, it was fantastic! for 90MAD you have very good pastry, natural juices, and you can even ask for an omelette made at the moment in show cooking. The waiters are kind, and they always try to help you. The apartment were also very well-equipped and very clean. There is a washing machine and you cal also ask for an iron and board, and also a clothesline to dry your clothes. Great if you've been travelling for a few weeks! The location is very good, near the marina and a good walk until the medina. Also, a supermarket is within 5 minutes distance. Thank you Pestana Tanger team to make my stay a memorable one.…",5
"Top costumer service. Very professional Team. New and large apartaments. Spacious and clean. Confy Bed Good location, nexr to TGV Station and Beach. Dont forget to visit old medina , enjoyable walk from the hotel",5
"A wonderful hotel , 2 min walk from the train station.  The hotel room was amazing !!! Check-in and check-out was so easy , thanks to Adel in the lobby during check-out  Will definitely stay there again if I am back to Tangier ",5
"Superb place. I went for 3 nights and stayed 8. The location was convenient for access to the beach and station and just a long walk to the medina. The apartment was extremely comfortable with good WiFi, a fridge/freezer, microwave, cooking facilities, washing machine, and TV with some English channels. The staff were all friendly and helpful.",5
New hotel clean and comfortable. Helpful team and very good location. The suite is just like the pictures clean and big.  We enjoyed our stay and will definitely come back again and again.  We recommend it !,5
"good location, rooms are very comfortable!  They are new and spacious, equipped with a washing machine: good breakfast, with Moroccan variety. we were very happy, the whole family liked it  we will come back and we recommend it to families",5
"The hotel is situated very close to the Gare Central, the beach and a commercial centre. The rooms are modern, spacious and well equipped. The staff are helpful and well trained. The food service offered is of good quality, including that provided in the apartments. The only negative aspect of the hotel is that the showers are too small.",5
"New modern hotel. Clean apartments, spacious and comfortable. The staff was exceptional from the moment we arrived, to the breakfast to check out they were always friendly, helpful and doing their best to please you. Could not think of a better place to stay in Tanger, with also a great location (5 minuts walking from the Corniche, near the Medina by taxi and just next to the TGV station. It was great!",5
"This Hotel is the best. New and nice rooms, well equiped (Kirchen, microwave, Washing machine, Drying rack (but on Request)   Good Location near Marina & Malabata .  Great Breakfast and very friendly staff. I will come back for sure.",5
"Great stay. Well-equipped aprtments. Great staff and very good breakfast!  The best part was when we went for lunch, the Tajine de Boeuf is the best in Tanger!!! you should try it! The location was also very convenient near the marina and a lot of cool places to explore",5
"Great Stay! Since the moment we arrived, for the first time in marroco, the bellboy was very helpful, the front desk as easy and welcoming. Restaurant is good with traditional food (AMAZING Tajine!!) and more international one like salads, tapas. The Breakfast buffet, it was fantastic! for 90MAD you have very good pastry, natural juices, and you can even ask for an omelette made at the moment in show cooking. The waiters are kind, and they always try to help you. The apartment were also very well-equipped and very clean. There is a washing machine and you cal also ask for an iron and board, and also a clothesline to dry your clothes. Great if you've been travelling for a few weeks! The location is very good, near the marina and a good walk until the medina. Also, a supermarket is within 5 minutes distance. Thank you Pestana Tanger team to make my stay a memorable one.…",5
"Top costumer service. Very professional Team. New and large apartaments. Spacious and clean. Confy Bed Good location, nexr to TGV Station and Beach. Dont forget to visit old medina , enjoyable walk from the hotel",5
"A wonderful hotel , 2 min walk from the train station.  The hotel room was amazing !!! Check-in and check-out was so easy , thanks to Adel in the lobby during check-out  Will definitely stay there again if I am back to Tangier ",5
"Superb place. I went for 3 nights and stayed 8. The location was convenient for access to the beach and station and just a long walk to the medina. The apartment was extremely comfortable with good WiFi, a fridge/freezer, microwave, cooking facilities, washing machine, and TV with some English channels. The staff were all friendly and helpful.",5
New hotel clean and comfortable. Helpful team and very good location. The suite is just like the pictures clean and big.  We enjoyed our stay and will definitely come back again and again.  We recommend it !,5
"good location, rooms are very comfortable!  They are new and spacious, equipped with a washing machine: good breakfast, with Moroccan variety. we were very happy, the whole family liked it  we will come back and we recommend it to families",5
"The hotel is situated very close to the Gare Central, the beach and a commercial centre. The rooms are modern, spacious and well equipped. The staff are helpful and well trained. The food service offered is of good quality, including that provided in the apartments. The only negative aspect of the hotel is that the showers are too small.",5
"New modern hotel. Clean apartments, spacious and comfortable. The staff was exceptional from the moment we arrived, to the breakfast to check out they were always friendly, helpful and doing their best to please you. Could not think of a better place to stay in Tanger, with also a great location (5 minuts walking from the Corniche, near the Medina by taxi and just next to the TGV station. It was great!",5
"This Hotel is the best. New and nice rooms, well equiped (Kirchen, microwave, Washing machine, Drying rack (but on Request)   Good Location near Marina & Malabata .  Great Breakfast and very friendly staff. I will come back for sure.",5
"Great stay. Well-equipped aprtments. Great staff and very good breakfast!  The best part was when we went for lunch, the Tajine de Boeuf is the best in Tanger!!! you should try it! The location was also very convenient near the marina and a lot of cool places to explore",5
"Great Stay! Since the moment we arrived, for the first time in marroco, the bellboy was very helpful, the front desk as easy and welcoming. Restaurant is good with traditional food (AMAZING Tajine!!) and more international one like salads, tapas. The Breakfast buffet, it was fantastic! for 90MAD you have very good pastry, natural juices, and you can even ask for an omelette made at the moment in show cooking. The waiters are kind, and they always try to help you. The apartment were also very well-equipped and very clean. There is a washing machine and you cal also ask for an iron and board, and also a clothesline to dry your clothes. Great if you've been travelling for a few weeks! The location is very good, near the marina and a good walk until the medina. Also, a supermarket is within 5 minutes distance. Thank you Pestana Tanger team to make my stay a memorable one.…",5
"Top costumer service. Very professional Team. New and large apartaments. Spacious and clean. Confy Bed Good location, nexr to TGV Station and Beach. Dont forget to visit old medina , enjoyable walk from the hotel",5
"A wonderful hotel , 2 min walk from the train station.  The hotel room was amazing !!! Check-in and check-out was so easy , thanks to Adel in the lobby during check-out  Will definitely stay there again if I am back to Tangier ",5
"Superb place. I went for 3 nights and stayed 8. The location was convenient for access to the beach and station and just a long walk to the medina. The apartment was extremely comfortable with good WiFi, a fridge/freezer, microwave, cooking facilities, washing machine, and TV with some English channels. The staff were all friendly and helpful.",5
New hotel clean and comfortable. Helpful team and very good location. The suite is just like the pictures clean and big.  We enjoyed our stay and will definitely come back again and again.  We recommend it !,5
"good location, rooms are very comfortable!  They are new and spacious, equipped with a washing machine: good breakfast, with Moroccan variety. we were very happy, the whole family liked it  we will come back and we recommend it to families",5
